Country,GDP ($),,,
China,19400000000000,,19.4,trillion
Japan,4400000000000,,4.4,trillion
India,3700000000000,,3.7,trillion
South Korea,1760000000000,,1.76,trillion
Indonesia,1475000000000,,1.475,trillion
Saudi Arabia,1106000000000,,1.106,trillion
Taiwan,802960000000,,802.96,billion
Thailand,548890000000,,548.89,billion
Israel,530660000000,,530.66,billion
UAE,527800000000,,527.8,billion
Singapore,525230000000,,525.23,billion
Philippines,471520000000,,471.52,billion
Pakistan,471520000000,,471.52,billion
Vietnam,465810000000,,465.81,billion
Iran,464180000000,,464.18,billion
Banbladesh,455160000000,,455.16,billion
Malaysia,445520000000,,445.52,billion
Hong Kong,406780000000,,406.78,billion
Kazakhstan,296740000000,,296.74,billion
Iraq,265890000000,,265.89,billion
Qatar,244680000000,,244.68,billion
Kuwait,160400000000,,160.4,billion
Oman,108930000000,,108.93,billion
Uzbekistan,97950000000,,97.95,billion
Turkmenistan,81900000000,,81.9,billion
Azerbaijan,80900000000,,80.9,billion
Myanmar,68000000000,,68,billion
Jordan,53570000000,,53.57,billion
Bahrain,46800000000,,46.8,billion
Cambodia,45200000000,,45.2,billion
Nepal,44180000000,,44.18,billion
Lebannon,38100000000,,38.1,billion
Georgia,36600000000,,36.6,billion
Armenia,27500000000,,27.5,billion
Syria,22400000000,,22.4,billion
Mongolia,21940000000,,21.94,billion
Laos,19100000000,,19.1,billion
Yemen,16940000000,,16.94,billion
Brunei Darussalam,16400000000,,16.4,billion
Kyrgyz Republic,13600000000,,13.6,billion
Tajikistan,12950000000,,12.95,billion
Maldives,8210000000,,8.21,billion
Afghanistan,7430000000,,7.43,billion
Bhutan,3310000000,,3.31,billion
Timor-Leste,3250000000,,3.25,billion
